# RPLiDAR C1 raw scan
# columns: angle_deg, distance_mm, quality
356.438,   595.25,  48
357.141,   596.00,  47
357.844,   595.25,  46
358.547,   594.75,  46
359.297,   595.50,  46
  0.000,   596.25,  44
  0.719,   597.00,  44
  1.422,   597.75,  45
  2.125,   597.50,  45
  2.828,   598.00,  45
  3.531,   598.25,  45
  4.234,   598.25,  46
  4.984,   599.75,  46
  5.688,   601.25,  46
  6.406,   602.50,  47
  7.109,   604.25,  46
  7.812,   605.00,  47
  8.516,   606.00,  47
  9.219,   606.75,  47
  9.922,   608.75,  47
 10.844,   612.25,  47
 11.594,   614.75,  47
 12.359,   615.50,  47
 13.109,   617.50,  46
 13.703,   620.50,  45
 14.406,   622.25,  45
 15.125,   624.50,  46
 15.828,   626.50,  45
 16.562,   628.25,  45
 17.266,   631.50,  44
 17.984,   634.50,  44
 18.688,   638.00,  44
 19.453,   640.00,  43
 20.172,   642.50,  42
 20.891,   647.25,  41
 21.609,   651.00,  39
 22.297,   654.25,  39
 23.000,   657.75,  38
 23.719,   662.25,  37
 24.422,   667.00,  38
 25.188,   671.25,  36
 25.906,   676.00,  36
 26.625,   680.50,  35
 27.344,   684.75,  36
 28.047,   689.00,  35
 28.750,   694.50,  33
 29.469,   700.25,  34
 30.172,   705.50,  33
 30.656,   712.25,  33
 31.297,   718.00,  32
 31.953,   723.00,  32
 32.594,   729.75,  32
 33.484,   736.25,  31
 34.188,   741.75,  29
 34.891,   749.00,  29
 35.594,   758.00,  29
 36.312,   766.25,  28
 37.016,   772.75,  27
 37.719,   779.75,  26
 38.422,   787.50,  26
 39.156,   797.50,  26
 39.859,   808.25,  25
 40.578,   816.50,  25
 41.281,   825.00,  25
 42.000,   835.75,  25
 42.703,   845.50,  25
 43.422,   856.25,  23
 44.125,   867.50,  22
 44.812,   878.50,  24
 45.516,   890.50,  23
 46.219,   908.75,  26
 46.922,   924.25,  23
 47.641,   931.75,  22
 48.344,   942.25,  21
 49.047,   955.50,  21
 49.750,   971.00,  21
 50.500,   987.50,  20
 51.203,  1003.25,  20
 51.922,  1018.50,  20
 52.625,  1036.00,  19
 53.312,  1056.50,  19
 54.016,  1076.50,  19
 54.719,  1096.75,  18
 55.422,  1119.25,  19
 56.156,  1141.00,  19
 56.859,  1164.50,  20
 57.578,  1188.50,  20
 58.281,  1212.00,  20
 58.984,  1237.75,  21
 59.688,  1264.75,  21
 60.391,  1294.25,  21
 61.094,  1326.75,  22
 61.812,  1361.00,  22
 62.516,  1397.75,  23
 63.219,  1438.75,  25
 65.750,  1565.50,  39
 67.328,  1251.50,  23
 67.828,  1253.25,  25
 68.531,  1255.00,  23
 69.250,  1257.25,  23
 69.953,  1261.50,  23
 70.672,  1264.50,  23
 71.375,  1267.75,  25
 72.094,  1270.25,  24
 72.797,  1271.75,  24
 73.531,  1276.25,  25
 74.234,  1279.75,  24
 74.953,  1282.50,  24
 75.656,  1286.00,  24
 76.391,  1294.25,  18
 80.672,  1722.25,  22
 81.375,  1700.50,  22
 81.938,  1681.25,  23
 82.609,  1660.75,  22
 83.281,  1637.50,  22
 83.953,  1614.50,  22
 84.750,  1593.75,  22
 85.453,  1574.50,  22
 86.156,  1556.75,  22
 86.859,  1540.75,  22
 87.578,  1540.50,  22
 88.281,  1560.25,  22
 88.984,  1584.00,  22
 89.688,  1608.25,  22
 90.406,  1634.75,  22
 91.109,  1661.00,  22
 91.812,  1686.75,  18
 93.219,  2778.50,  23
 93.922,  2757.75,  18
 96.062,  2058.50,  24
 96.766,  2066.25,  24
 97.484,  2071.25,  24
 98.188,  2076.50,  24
 98.875,  2083.00,  25
 99.578,  2089.75,  26
100.281,  2097.25,  28
100.984,  2105.50,  29
101.875,  2115.75,  34
108.281,  1466.75,  21
109.703,  1389.25,   8
111.859,  1243.75,  19
112.562,  1212.75,  21
113.281,  1183.75,  21
113.984,  1154.00,  20
114.703,  1125.50,  20
