# RPLiDAR C1 wall scan (calibrated)
# ANGLE_OFFSET_DEG = +1.540
# columns: angle_180_deg, distance_mm, quality
-179.694,  8326.25,  29
-178.991,  8332.00,  26
-178.288,  8338.25,  25
-176.866,  4592.75,  10
-174.054,  2746.00,  11
-163.257,  1934.50,  24
-162.554,  1931.75,  27
-161.835,  1933.75,  33
-158.288,  1624.25,  20
-157.554,  1576.00,  20
-156.132,  1484.25,  20
-155.429,  1446.75,  20
-154.007,  1245.25,  21
-153.288,  1212.00,  21
-152.585,  1183.50,  21
-151.866,  1156.50,  22
-151.163,  1131.50,  21
-150.444,  1107.25,  22
-149.741,  1083.25,  22
-149.069,  1061.00,  21
-148.382,  1038.75,  21
-147.679,  1017.25,  20
-146.991,   998.75,  21
-146.226,   980.50,  21
-145.523,   964.50,  20
-144.804,   947.75,  22
-144.101,   931.50,  22
-143.366,   917.50,  23
-142.663,   901.00,  22
-141.944,   886.25,  24
-141.241,   873.75,  24
-140.538,   860.50,  24
-139.835,   847.25,  25
-139.132,   836.00,  25
-138.429,   825.00,  25
-137.710,   814.50,  25
-137.007,   804.25,  26
-136.304,   793.50,  27
-135.601,   783.00,  28
-134.866,   771.75,  28
-134.163,   762.25,  28
-133.444,   754.25,  29
-132.741,   744.75,  29
-132.194,   735.75,  29
-131.538,   729.25,  30
-130.866,   722.75,  31
-130.210,   714.25,  31
-129.398,   706.50,  32
-128.710,   701.25,  32
-128.007,   697.00,  33
-127.319,   692.00,  34
-126.585,   685.00,  33
-125.882,   678.25,  34
-125.179,   672.25,  35
-124.476,   666.25,  35
-123.773,   661.50,  34
-123.069,   655.25,  36
-122.366,   648.50,  37
-121.663,   644.50,  37
-120.960,   639.50,  37
-120.257,   633.75,  38
-119.554,   629.00,  38
-118.851,   624.00,  38
-118.148,   620.00,  39
-117.444,   615.00,  39
-116.741,   610.75,  40
-116.038,   607.25,  40
-115.351,   603.25,  41
-114.663,   600.50,  41
-113.960,   597.25,  41
-113.273,   592.75,  42
-112.523,   589.00,  41
-111.819,   586.75,  41
-111.116,   584.25,  43
-110.413,   582.75,  43
-109.726,   580.50,  43
-109.038,   576.50,  42
-108.335,   573.25,  42
-107.648,   571.00,  43
-106.898,   569.75,  44
-106.194,   568.25,  43
-105.491,   568.50,  43
-104.788,   570.50,  46
-104.101,   568.00,  45
-103.413,   564.50,  44
-102.710,   562.50,  44
-102.022,   560.00,  44
-101.272,   558.50,  44
-100.569,   557.25,  45
 -99.866,   556.25,  44
 -99.163,   555.50,  44
 -98.476,   554.50,  44
 -97.788,   554.25,  44
 -97.085,   553.75,  45
 -96.397,   553.00,  44
 -95.601,   552.50,  45
 -94.882,   552.00,  44
 -94.163,   551.50,  45
 -93.444,   552.00,  45
 -92.804,   552.25,  45
 -92.116,   552.25,  45
 -91.413,   552.25,  45
 -90.726,   551.50,  45
 -89.976,   552.00,  45
 -89.272,   552.25,  46
 -88.569,   552.00,  46
 -87.866,   552.00,  44
 -87.163,   552.50,  45
 -86.460,   553.50,  44
 -85.757,   553.75,  44
 -85.054,   554.25,  45
 -84.351,   555.00,  44
 -83.647,   555.50,  45
 -82.944,   556.75,  44
 -82.241,   557.75,  44
 -81.522,   558.50,  45
 -80.819,   560.00,  44
 -80.116,   560.75,  45
 -79.413,   561.00,  44
 -78.710,   562.50,  44
 -78.007,   563.00,  43
 -77.304,   562.50,  43
 -76.601,   562.75,  42
 -75.866,   563.75,  41
 -75.163,   564.75,  42
 -74.444,   566.50,  41
 -73.741,   568.25,  40
 -73.069,   570.50,  41
 -72.382,   572.00,  40
 -71.679,   575.25,  40
 -70.991,   579.25,  38
 -70.226,   582.00,  38
 -69.522,   585.25,  39
 -68.804,   587.50,  37
 -68.101,   590.75,  37
 -67.429,   593.25,  36
 -66.741,   595.75,  36
 -66.038,   600.25,  36
 -65.351,   603.75,  35
 -64.601,   607.25,  34
 -63.897,   612.75,  34
 -63.194,   616.00,  35
 -62.491,   619.25,  34
 -61.788,   624.75,  34
 -61.085,   629.00,  33
 -60.382,   632.75,  33
 -59.679,   636.75,  33
 -58.944,   643.00,  32
 -58.241,   650.00,  32
 -57.522,   655.75,  32
 -56.819,   661.75,  32
 -56.132,   667.75,  32
 -55.429,   672.25,  31
 -54.726,   677.50,  31
 -54.022,   684.75,  30
 -53.304,   692.25,  30
 -52.601,   699.50,  29
 -51.897,   706.75,  29
 -51.194,   711.25,  26
 -49.788,   540.50,  37
 -49.085,   533.00,  40
 -48.382,   527.75,  41
 -47.663,   524.75,  41
 -46.960,   523.00,  39
 -46.257,   521.50,  39
 -45.554,   519.50,  40
 -44.851,   518.50,  40
 -44.147,   517.75,  41
 -43.444,   514.75,  41
 -42.741,   512.25,  41
 -42.007,   510.50,  43
 -41.304,   507.75,  44
 -40.585,   506.25,  44
 -39.882,   504.75,  44
 -39.194,   502.75,  45
 -38.491,   501.00,  45
 -37.788,   500.50,  44
 -37.085,   498.75,  44
 -36.366,   495.75,  45
 -35.663,   494.00,  45
 -34.960,   492.50,  46
 -34.257,   492.25,  46
 -33.554,   491.25,  47
 -32.851,   489.75,  48
 -32.147,   489.50,  46
 -31.444,   490.00,  46
 -30.726,   490.00,  46
 -30.022,   489.00,  46
 -29.319,   488.00,  47
 -28.616,   487.75,  46
 -27.882,   486.75,  46
 -27.179,   486.75,  46
 -26.460,   488.50,  44
 -25.757,   491.00,  30
 -24.398,  1357.50,  21
 -23.694,  1396.75,  22
 -23.007,  1437.25,  22
 -22.210,  1479.75,  21
 -12.304,   919.00,  28
 -11.601,   907.00,  32
 -10.898,   893.50,  31
 -10.194,   880.50,  33
  -9.491,   868.00,  33
  -8.788,   857.25,  34
  -8.069,   846.50,  35
  -7.366,   834.75,  37
  -6.663,   823.50,  35
  -5.960,   813.75,  35
  -5.226,   803.00,  36
  -4.523,   790.00,  35
  -3.804,   778.50,  35
  -3.101,   769.00,  35
  -1.694,   749.75,  34
  -0.991,   741.00,  31
  -0.288,   734.50,  31
  +0.415,   727.25,  30
  +1.134,   719.50,  31
  +1.837,   718.00,  28
  +2.540,   723.25,  29
  +3.243,   732.25,  27
  +3.993,   744.00,  25
  +4.696,   756.75,  25
  +5.415,   770.25,  26
  +6.118,   785.25,  25
  +6.821,   801.50,  24
  +7.524,   820.25,  28
  +8.227,   838.50,  28
  +8.931,   854.00,  26
  +9.634,   870.00,  25
 +10.337,   890.50,  17
 +14.946,  1263.25,  30
 +15.524,  1266.50,  31
 +16.227,  1270.75,  31
 +16.946,  1276.00,  31
 +17.649,  1281.50,  32
 +18.368,  1288.00,  32
 +19.071,  1294.75,  30
 +19.790,  1300.50,  31
 +20.493,  1305.25,  29
 +21.227,  1312.25,  31
 +21.931,  1319.75,  31
 +22.649,  1325.75,  30
 +23.352,  1333.75,  29
 +24.087,  1340.50,  44
 +26.212,  1238.00,  23
 +26.946,  1209.50,  20
 +27.649,  1192.75,   9
 +29.071,  1128.00,   8
 +29.571,  1113.25,   8
 +30.227,  1087.75,   7
 +31.540,  1022.75,  16
 +32.384,  1005.50,  17
 +33.087,   986.75,  18
 +33.790,   967.75,  18
 +34.493,   950.75,  18
 +35.227,   934.50,  18
 +35.931,   918.00,  18
 +36.649,   904.00,  19
 +37.352,   889.00,  19
 +38.040,   874.75,  18
 +38.743,   862.50,  18
 +39.446,   850.00,  17
 +40.149,   837.50,  16
 +40.852,   825.25,  18
 +41.556,   813.75,  19
 +42.259,   804.50,  19
 +42.962,   796.75,  24
 +43.681,   790.00,  28
 +44.384,   785.00,  31
 +45.087,   775.00,  21
 +45.790,   760.75,  17
 +46.493,   756.00,  10
 +47.196,   748.00,   7
 +47.899,   736.25,   7
 +48.602,   732.00,  15
 +49.337,   726.00,  11
 +50.040,   717.50,   8
 +50.759,   709.00,   7
 +51.462,   701.50,   7
 +52.149,   696.25,   7
 +52.852,   686.75,   7
 +53.556,   678.00,   8
 +54.259,   673.25,   8
 +54.946,   669.50,   9
 +55.634,   665.50,  23
 +56.337,   658.75,  27
 +57.024,   654.25,  24
 +57.790,   649.75,  30
 +58.493,   642.00,  31
 +59.212,   635.75,  32
 +59.915,   631.75,  29
 +60.602,   628.25,  30
 +61.306,   623.75,  33
 +62.009,   619.00,  33
 +62.712,   616.50,  34
 +63.431,   613.00,  34
 +64.134,   607.75,  35
 +64.837,   603.25,  35
 +65.540,   601.00,  35
 +66.556,   598.00,  36
 +67.337,   594.50,  37
 +68.118,   592.50,  37
 +68.899,   589.75,  37
 +69.415,   587.00,  37
 +70.118,   585.25,  38
 +70.837,   583.00,  38
 +71.540,   581.75,  39
 +72.259,   579.00,  38
 +72.962,   576.50,  36
 +73.681,   575.00,  38
 +74.384,   572.75,  40
 +75.103,   571.00,  37
 +75.806,   568.50,  40
 +76.524,   567.00,  34
 +77.228,   566.75,  38
 +77.946,   565.75,  37
 +78.649,   564.25,  35
 +79.368,   560.50,  40
 +80.071,   557.50,  40
 +80.790,   557.00,  41
 +81.493,   556.50,  40
 +82.212,   555.25,  39
 +82.915,   555.25,  43
 +83.462,   555.00,  43
 +84.118,   554.25,  37
 +84.790,   554.50,  44
 +85.446,   554.25,  41
 +86.259,   551.25,  42
 +86.946,   546.25,  46
 +87.649,   542.00,  49
 +88.337,   539.25,  53
 +89.056,   539.75,  54
 +89.743,   541.50,  54
 +90.446,   541.25,  54
 +91.134,   540.25,  54
 +91.884,   539.75,  50
 +92.587,   542.00,  48
 +93.290,   544.75,  45
 +93.993,   547.00,  43
 +94.681,   549.50,  43
 +95.368,   550.25,  42
 +96.071,   550.25,  42
 +96.759,   551.25,  42
 +97.524,   553.00,  43
 +98.228,   553.50,  42
 +98.946,   554.25,  43
 +99.649,   555.50,  43
+100.321,   557.50,  44
+101.009,   556.50,  46
+101.712,   555.00,  45
+102.399,   558.00,  45
+103.290,   561.00,  43
+104.024,   562.00,  43
+104.774,   564.00,  44
+105.509,   565.25,  43
+106.134,   567.50,  43
+106.837,   570.50,  43
+107.556,   571.75,  42
+108.259,   574.00,  42
+108.962,   577.00,  42
+109.665,   579.25,  41
+110.368,   581.75,  41
+111.071,   583.75,  41
+111.806,   586.25,  41
+112.509,   589.50,  41
+113.228,   592.50,  41
+113.931,   596.00,  40
+114.634,   600.50,  40
+115.337,   603.25,  34
+118.915,  1848.50,  28
+120.134,  2292.00,  15
+122.103,  8153.00,  18
+123.649,  1976.75,  28
+124.353,  1976.00,  30
+125.056,  1984.00,  28
+129.259,  3154.25,  27
+129.962,  3140.25,  23
+131.368,  2504.50,  18
+134.181,  2947.75,  21
+134.884,  2938.00,  21
+135.587,  2918.50,  20
+136.290,  2905.00,  17
+137.696,  2595.25,  20
+138.399,  2596.00,  20
+139.102,  2616.50,  19
+140.009,  2644.25,  17
+142.259,  2741.00,  23
+152.774,  7743.00,   5
+157.024,  7528.00,   6
+164.806, 10775.00,   6
+165.524, 10746.25,  11
+166.931, 14676.25,   4
+167.634, 14647.75,   5
+168.352, 14609.75,   5
+169.056, 14574.75,   3
+170.462, 14523.50,   4
+171.181, 14481.50,   5
+171.884, 14463.00,   4
+172.587, 14431.50,   4
+175.321, 14363.75,   5
+176.009, 14346.00,   5
+176.774, 14331.00,   5
+178.181, 11209.50,   3
+179.602,  8309.25,  33
